State,State of emergency,Date closed K-12 schools,Closed day cares,Date banned visitors to nursing homes,Stay at home/ shelter in place,Closed non-essential businesses,Religious Gatherings Exempt Without Clear Social Distance Mandate*,Alcohol/Liquor Stores Open,Keep Firearms Sellers Open,Closed restaurants except take out,Closed gyms,Closed movie theaters,Froze evictions,Order freezing utility shut offs,Froze mortgage payments,Waived one week waiting period for unemployment insurance,Waive work search requirement for unemployment insurance,Expand eligibility of unemployment insurance to anyonewho is quarantined and/or taking care of someone who is quarantined,Expand eligibility of unemployment insurance to those who have lost childcare/school closures,Extend the amount of time an individual can be on unemployment insurance,Paid sick leave,Population density per square miles,Population 2018 ,Square Miles,Number Homeless (2019),Percent Unemployed (2018),Percent living under the federal poverty line (2018),Percent at risk for serious illness due to COVID,All-cause deaths 2016
Alabama,3/13/2020,3/18/2020,3/20/2020,3/19/2020,4/4/2020,3/28/2020,0,1,1,3/19/2020,3/28/2020,3/28/2020,0,0,0,3/16/2020,1,1,0,0,0,93.24,4887871,52420,"3,261",5.6,16.8,43.1,"52,466"
Alaska,3/11/2020,3/16/2020,0,0,3/28/2020,3/28/2020,0,1,1,3/18/2020,3/18/2020,3/18/2020,0,0,0,3/26/2020,1,1,1,0,0,1.11,737438,665384,"1,907",6.8,10.9,32.8,"4,494"
Arizona,3/11/2020,3/16/2020,0,0,3/31/2020,0,1,1,1,3/20/2020,3/20/2020,3/20/2020,3/24/2020,0,0,3/18/2020,1,1,1,0,1,62.91,7171646,113990,"10,007",5.4,14,39.1,"56,645"
Arkansas,3/11/2020,3/17/2020,0,3/13/2020,0,0,0,1,1,3/20/2020,3/20/2020,0,0,0,0,3/17/2020,1,0,0,0,0,56.67,3013825,53179,"2,717",4.5,17.2,43.5,"31,756"
California,3/4/2020,0,0,0,3/19/2020,0,0,1,0,0,0,0,3/27/2020,0,0,3/12/2020,1,1,0,0,1,241.65,39557045,163695,"151,278",5.5,12.8,33.3,"262,240"
Colorado,3/11/2020,3/23/2020,0,3/12/2020,3/26/2020,3/26/2020,1,1,1,3/17/2020,3/17/2020,3/17/2020,3/20/2020,0,0,3/20/2020,0,0,0,0,0,54.72,5695564,104094,"9,619",3.9,9.6,31.3,"37,530"
Connecticut,3/10/2020,3/17/2020,0,3/9/2020,0,3/23/2020,0,1,0,3/16/2020,3/16/2020,3/16/2020,3/17/2020,3/12/2020,0,1/1/2020,1,0,0,0,1,644.54,3572665,5543,"3,033",5.5,10.4,36,"30,543"
Delaware,3/13/2020,3/16/2020,4/6/2020,0,3/24/2020,3/24/2020,1,1,0,3/16/2020,3/19/2020,3/19/2020,3/24/2020,3/24/2020,0,1,1,1,1,1,0,388.58,967171,2489,921,5.7,12.5,41.3,"8,874"
District of Columbia,3/11/2020,3/16/2020,0,0,4/1/2020,3/25/2020,0,1,0,3/16/2020,3/17/2020,3/17/2020,3/15/2020,3/17/2020,0,0,1,1,0,0,1,"11,496.81","702,455",61.1,6521,7.5,16.2,31.8,"5,037"
Florida,3/9/2020,3/17/2020,0,3/15/2020,4/3/2020,0,1,1,1,3/20/2020,3/20/2020,3/20/2020,4/2/2020,0,0,3/31/2020,1,1,0,0,0,323.90,21299325,65758,"28,328",5.2,13.6,42.1,"197,313"
